sectorSalida;sectorLlegada;RijCorregido;flow
11-1010;11-1010;-1;0
11-1010;11-1020;0.9159742696328063;1
11-1010;11-2010;-1;0
11-1010;11-2020;0.6218944980147476;1
11-1010;11-2030;-1;0
11-1010;11-3010;-1;0
11-1010;11-3020;-1;0
11-1010;11-3030;0.7578999139308988;1
11-1010;11-3050;0.9726802345636426;1
11-1010;11-3060;-1;0
11-1010;11-3070;-1;0
11-1010;11-3110;-1;0
11-1010;11-9010;-1;0
11-1010;11-9020;0.9578226634714139;1
11-1010;11-9030;0.9159742696328063;2
11-1010;11-9040;0.9817035137570171;1
11-1010;11-9050;-1;0
11-1010;11-9060;-1;0
11-1010;11-9070;-1;0
11-1010;11-9080;-1;0
11-1010;11-9110;-1;0
11-1010;11-9120;-1;0
11-1010;11-9140;-1;0
11-1010;11-9150;-1;0
11-1010;11-9190;0.6314630333321922;5
11-1010;13-1010;-1;0
11-1010;13-1020;-1;0
11-1010;13-1030;-1;0
11-1010;13-1040;-1;0
11-1010;13-1050;-1;0
11-1010;13-1070;-1;0
11-1010;13-1080;-1;0
11-1010;13-1110;0.9607762463142014;1
11-1010;13-1120;-1;0
11-1010;13-1160;-1;0
11-1010;13-2010;-1;0
11-1010;13-2020;-1;0
11-1010;13-2030;-1;0
11-1010;13-2040;-1;0
11-1010;13-2050;-1;0
11-1010;13-2060;-1;0
11-1010;13-2070;-1;0
11-1010;13-2080;-1;0
11-1010;13-2090;-1;0
11-1010;15-1110;-1;0
11-1010;15-1120;-1;0
11-1010;15-1130;-1;0
11-1010;15-1140;-1;0
11-1010;15-1150;-1;0
11-1010;15-2010;-1;0
11-1010;15-2030;-1;0
11-1010;15-2090;-1;0
11-1010;17-1010;-1;0
11-1010;17-1020;-1;0
11-1010;17-2010;-1;0
11-1010;17-2030;-1;0
11-1010;17-2040;-1;0
11-1010;17-2050;-1;0
11-1010;17-2060;-1;0
11-1010;17-2070;-1;0
11-1010;17-2080;-1;0
11-1010;17-2110;-1;0
11-1010;17-2130;-1;0
11-1010;17-2140;-1;0
11-1010;17-2170;-1;0
11-1010;17-2190;-1;0
11-1010;17-3010;-1;0
11-1010;17-3020;-1;0
11-1010;17-3030;-1;0
11-1010;19-1010;-1;0
11-1010;19-1020;-1;0
11-1010;19-1030;-1;0
11-1010;19-1040;-1;0
11-1010;19-2010;-1;0
11-1010;19-2020;-1;0
11-1010;19-2030;-1;0
11-1010;19-2040;-1;0
11-1010;19-2090;-1;0
11-1010;19-3010;-1;0
11-1010;19-3020;-1;0
11-1010;19-3030;-1;0
11-1010;19-3050;-1;0
11-1010;19-3090;-1;0
11-1010;19-4010;-1;0
11-1010;19-4020;-1;0
11-1010;19-4030;-1;0
11-1010;19-4090;-1;0
11-1010;21-1010;-1;0
11-1010;21-1020;-1;0
11-1010;21-1090;-1;0
11-1010;21-2010;-1;0
11-1010;21-2020;-1;0
11-1010;21-2090;-1;0
11-1010;23-1010;-1;0
11-1010;23-2010;-1;0
11-1010;23-2090;-1;0
11-1010;25-1000;0.8813079807882096;1
11-1010;25-2010;-1;0
11-1010;25-2020;-1;0
11-1010;25-2030;-1;0
11-1010;25-2050;-1;0
11-1010;25-3000;-1;0
11-1010;25-4010;-1;0
11-1010;25-4020;-1;0
11-1010;25-4030;-1;0
11-1010;25-9040;-1;0
11-1010;25-90X0;-1;0
11-1010;27-1010;-1;0
11-1010;27-1020;-1;0
11-1010;27-2010;-1;0
11-1010;27-2020;-1;0
11-1010;27-2030;-1;0
11-1010;27-2040;-1;0
11-1010;27-2090;-1;0
11-1010;27-3010;-1;0
11-1010;27-3020;-1;0
11-1010;27-3030;-1;0
11-1010;27-3040;-1;0
11-1010;27-3090;-1;0
11-1010;27-4010;-1;0
11-1010;27-4020;-1;0
11-1010;27-4030;-1;0
11-1010;29-1010;-1;0
11-1010;29-1030;-1;0
11-1010;29-1050;-1;0
11-1010;29-1060;-1;0
11-1010;29-1070;-1;0
11-1010;29-1120;-1;0
11-1010;29-1130;-1;0
11-1010;29-1140;-1;0
11-1010;29-1190;-1;0
11-1010;29-2010;-1;0
11-1010;29-2020;-1;0
11-1010;29-2030;-1;0
11-1010;29-2040;-1;0
11-1010;29-2050;-1;0
11-1010;29-2060;-1;0
11-1010;29-2070;-1;0
11-1010;29-2080;-1;0
11-1010;29-2090;-1;0
11-1010;29-9000;-1;0
11-1010;31-1010;-1;0
11-1010;31-2010;-1;0
11-1010;31-2020;-1;0
11-1010;31-9010;-1;0
11-1010;31-9090;-1;0
11-1010;33-1010;-1;0
11-1010;33-1020;-1;0
11-1010;33-1090;-1;0
11-1010;33-2010;-1;0
11-1010;33-3010;-1;0
11-1010;33-3020;-1;0
11-1010;33-3040;-1;0
11-1010;33-3050;-1;0
11-1010;33-9010;-1;0
11-1010;33-9020;0.9908097194179489;1
11-1010;33-9030;-1;0
11-1010;33-9090;-1;0
11-1010;35-1010;-1;0
11-1010;35-2010;-1;0
11-1010;35-2020;-1;0
11-1010;35-3010;-1;0
11-1010;35-3020;-1;0
11-1010;35-3030;-1;0
11-1010;35-3040;-1;0
11-1010;35-9010;-1;0
11-1010;35-9020;-1;0
11-1010;35-9030;-1;0
11-1010;37-1010;-1;0
11-1010;37-2010;-1;0
11-1010;37-2020;-1;0
11-1010;37-3010;-1;0
11-1010;39-1010;-1;0
11-1010;39-1020;-1;0
11-1010;39-2020;-1;0
11-1010;39-3010;-1;0
11-1010;39-3020;-1;0
11-1010;39-3030;-1;0
11-1010;39-3090;-1;0
11-1010;39-40X0;-1;0
11-1010;39-5010;-1;0
11-1010;39-5090;-1;0
11-1010;39-6010;-1;0
11-1010;39-7010;-1;0
11-1010;39-9010;-1;0
11-1010;39-9020;-1;0
11-1010;39-9030;-1;0
11-1010;39-9040;-1;0
11-1010;39-9090;-1;0
11-1010;41-1010;0.7332848396678184;1
11-1010;41-2010;-1;0
11-1010;41-2020;-1;0
11-1010;41-2030;-1;0
11-1010;41-3010;-1;0
11-1010;41-3020;-1;0
11-1010;41-3030;-1;0
11-1010;41-3040;-1;0
11-1010;41-3090;-1;0
11-1010;41-4010;-1;0
11-1010;41-9010;-1;0
11-1010;41-9020;-1;0
11-1010;41-9030;-1;0
11-1010;41-9040;-1;0
11-1010;41-9090;-1;0
11-1010;43-1010;0.649685570876363;1
11-1010;43-2010;-1;0
11-1010;43-2020;-1;0
11-1010;43-2090;-1;0
11-1010;43-3010;-1;0
11-1010;43-3020;-1;0
11-1010;43-3030;-1;0
11-1010;43-3040;-1;0
11-1010;43-3050;-1;0
11-1010;43-3060;-1;0
11-1010;43-3070;-1;0
11-1010;43-4010;-1;0
11-1010;43-4030;-1;0
11-1010;43-4040;-1;0
11-1010;43-4050;0.811810923837283;1
11-1010;43-4060;-1;0
11-1010;43-4070;-1;0
11-1010;43-4080;-1;0
11-1010;43-4110;-1;0
11-1010;43-4120;-1;0
11-1010;43-4130;0.7059841298251894;1
11-1010;43-4140;-1;0
11-1010;43-4150;-1;0
11-1010;43-4160;-1;0
11-1010;43-4170;-1;0
11-1010;43-4180;-1;0
11-1010;43-4190;-1;0
11-1010;43-5010;-1;0
11-1010;43-5020;-1;0
11-1010;43-5030;-1;0
11-1010;43-5040;-1;0
11-1010;43-5050;-1;0
11-1010;43-5060;-1;0
11-1010;43-5070;-1;0
11-1010;43-5080;-1;0
11-1010;43-5110;-1;0
11-1010;43-6010;-1;0
11-1010;43-9010;-1;0
11-1010;43-9020;-1;0
11-1010;43-9040;-1;0
11-1010;43-9050;-1;0
11-1010;43-9060;-1;0
11-1010;43-9070;-1;0
11-1010;43-9080;-1;0
11-1010;43-9110;-1;0
11-1010;43-9190;-1;0
11-1010;45-1010;-1;0
11-1010;45-2010;-1;0
11-1010;45-2040;-1;0
11-1010;45-2090;-1;0
11-1010;45-3010;-1;0
11-1010;45-4010;-1;0
11-1010;45-4020;-1;0
11-1010;47-1010;-1;0
11-1010;47-2010;-1;0
11-1010;47-2020;-1;0
11-1010;47-2030;-1;0
11-1010;47-2040;-1;0
11-1010;47-2050;-1;0
11-1010;47-2060;-1;0
11-1010;47-2070;-1;0
11-1010;47-2080;-1;0
11-1010;47-2110;-1;0
11-1010;47-2120;-1;0
11-1010;47-2130;-1;0
11-1010;47-2140;-1;0
11-1010;47-2150;-1;0
11-1010;47-2160;-1;0
11-1010;47-2170;-1;0
11-1010;47-2180;-1;0
11-1010;47-2210;-1;0
11-1010;47-2220;-1;0
11-1010;47-3010;-1;0
11-1010;47-4010;-1;0
11-1010;47-4020;-1;0
11-1010;47-4030;-1;0
11-1010;47-4050;-1;0
11-1010;47-4090;-1;0
11-1010;47-5010;-1;0
11-1010;47-5020;-1;0
11-1010;47-5030;-1;0
11-1010;47-5040;-1;0
11-1010;47-50X0;-1;0
11-1010;49-1010;-1;0
11-1010;49-2010;-1;0
11-1010;49-2020;-1;0
11-1010;49-2090;-1;0
11-1010;49-3010;-1;0
11-1010;49-3020;-1;0
11-1010;49-3030;-1;0
11-1010;49-3040;-1;0
11-1010;49-3050;-1;0
11-1010;49-3090;-1;0
11-1010;49-9010;-1;0
11-1010;49-9020;-1;0
11-1010;49-9030;-1;0
11-1010;49-9040;-1;0
11-1010;49-9050;-1;0
11-1010;49-9060;-1;0
11-1010;49-9070;-1;0
11-1010;49-9090;-1;0
11-1010;51-1010;0.49848024316109424;1
11-1010;51-2010;-1;0
11-1010;51-2020;-1;0
11-1010;51-2030;-1;0
11-1010;51-2040;-1;0
11-1010;51-2090;-1;0
11-1010;51-3010;-1;0
11-1010;51-3020;-1;0
11-1010;51-3090;-1;0
11-1010;51-4010;-1;0
11-1010;51-4020;-1;0
11-1010;51-4030;-1;0
11-1010;51-4040;-1;0
11-1010;51-4050;-1;0
11-1010;51-4060;-1;0
11-1010;51-4070;-1;0
11-1010;51-4110;-1;0
11-1010;51-4120;-1;0
11-1010;51-4190;-1;0
11-1010;51-5110;-1;0
11-1010;51-6010;-1;0
11-1010;51-6020;-1;0
11-1010;51-6030;-1;0
11-1010;51-6040;-1;0
11-1010;51-6050;-1;0
11-1010;51-6060;-1;0
11-1010;51-6090;-1;0
11-1010;51-7010;-1;0
11-1010;51-7020;-1;0
11-1010;51-7040;-1;0
11-1010;51-8010;-1;0
11-1010;51-8020;-1;0
11-1010;51-8030;-1;0
11-1010;51-8090;-1;0
11-1010;51-9010;-1;0
11-1010;51-9020;-1;0
11-1010;51-9030;-1;0
11-1010;51-9040;-1;0
11-1010;51-9050;-1;0
11-1010;51-9060;-1;0
11-1010;51-9070;-1;0
11-1010;51-9080;-1;0
11-1010;51-9110;-1;0
11-1010;51-9120;-1;0
11-1010;51-9150;-1;0
11-1010;51-9190;-1;0
11-1010;53-1000;0.9475548290423648;1
11-1010;53-2010;-1;0
11-1010;53-2020;-1;0
11-1010;53-2030;-1;0
11-1010;53-3010;-1;0
11-1010;53-3020;-1;0
11-1010;53-3030;-1;0
11-1010;53-3040;-1;0
11-1010;53-3090;-1;0
11-1010;53-4010;-1;0
11-1010;53-4020;-1;0
11-1010;53-4030;-1;0
11-1010;53-40X0;-1;0
11-1010;53-5010;-1;0
11-1010;53-5020;-1;0
11-1010;53-6020;-1;0
11-1010;53-6030;-1;0
11-1010;53-6050;-1;0
11-1010;53-60X0;-1;0
11-1010;53-7020;-1;0
11-1010;53-7030;-1;0
11-1010;53-7040;-1;0
11-1010;53-7050;-1;0
11-1010;53-7060;-1;0
11-1010;53-7070;-1;0
11-1010;53-7080;-1;0
11-1010;53-7190;-1;0
11-1010;55-1010;-1;0
11-1010;55-2010;-1;0
11-1010;55-3010;-1;0
11-1020;11-1010;0.9720680023449084;2
11-1020;11-1020;-1;0
11-1020;11-2010;-1;0
11-1020;11-2020;0.8083733873007842;3
11-1020;11-2030;-1;0
11-1020;11-3010;-1;0
11-1020;11-3020;0.9498789593917283;2
11-1020;11-3030;0.6837828288776352;1
11-1020;11-3050;-1;0
11-1020;11-3060;0.9833529860581258;1
11-1020;11-3070;-1;0
11-1020;11-3110;-1;0
11-1020;11-9010;-1;0
11-1020;11-9020;0.9429231500985256;1
11-1020;11-9030;-1;0
11-1020;11-9040;-1;0
11-1020;11-9050;0.6403166590178981;1
11-1020;11-9060;-1;0
11-1020;11-9070;-1;0
11-1020;11-9080;0.9833529860581258;1
11-1020;11-9110;-1;0
11-1020;11-9120;-1;0
11-1020;11-9140;-1;0
11-1020;11-9150;-1;0
11-1020;11-9190;-0.21265523033290196;1
11-1020;13-1010;-1;0
11-1020;13-1020;0.8032414706438797;1
11-1020;13-1030;-1;0
11-1020;13-1040;-1;0
11-1020;13-1050;-1;0
11-1020;13-1070;0.861346178882958;1
11-1020;13-1080;-1;0
11-1020;13-1110;-1;0
11-1020;13-1120;-1;0
11-1020;13-1160;-1;0
11-1020;13-2010;-1;0
11-1020;13-2020;-1;0
11-1020;13-2030;-1;0
11-1020;13-2040;-1;0
11-1020;13-2050;-1;0
11-1020;13-2060;-1;0
11-1020;13-2070;-1;0
11-1020;13-2080;-1;0
11-1020;13-2090;-1;0
11-1020;15-1110;-1;0
11-1020;15-1120;-1;0
11-1020;15-1130;0.8778485584816443;2
11-1020;15-1140;-1;0
11-1020;15-1150;0.9409448818897638;1
11-1020;15-2010;-1;0
11-1020;15-2030;-1;0
11-1020;15-2090;-1;0
11-1020;17-1010;-1;0
11-1020;17-1020;-1;0
11-1020;17-2010;-1;0
11-1020;17-2030;-1;0
11-1020;17-2040;-1;0
11-1020;17-2050;-1;0
11-1020;17-2060;-1;0
11-1020;17-2070;-1;0
11-1020;17-2080;-1;0
11-1020;17-2110;-1;0
11-1020;17-2130;-1;0
11-1020;17-2140;-1;0
11-1020;17-2170;-1;0
11-1020;17-2190;-1;0
11-1020;17-3010;-1;0
11-1020;17-3020;-1;0
11-1020;17-3030;-1;0
11-1020;19-1010;-1;0
11-1020;19-1020;-1;0
11-1020;19-1030;-1;0
11-1020;19-1040;-1;0
11-1020;19-2010;-1;0
11-1020;19-2020;-1;0
11-1020;19-2030;-1;0
11-1020;19-2040;-1;0
11-1020;19-2090;-1;0
11-1020;19-3010;-1;0
11-1020;19-3020;-1;0
11-1020;19-3030;-1;0
11-1020;19-3050;-1;0
11-1020;19-3090;-1;0
11-1020;19-4010;-1;0
11-1020;19-4020;-1;0
11-1020;19-4030;-1;0
11-1020;19-4090;-1;0
11-1020;21-1010;-1;0
11-1020;21-1020;-1;0
11-1020;21-1090;-1;0
11-1020;21-2010;0.9041086768329227;1
11-1020;21-2020;-1;0
11-1020;21-2090;-1;0
11-1020;23-1010;-1;0
11-1020;23-2010;-1;0
11-1020;23-2090;-1;0
11-1020;25-1000;-1;0
11-1020;25-2010;-1;0
11-1020;25-2020;0.4902798770000521;1
11-1020;25-2030;-1;0
11-1020;25-2050;-1;0
11-1020;25-3000;-1;0
11-1020;25-4010;-1;0
11-1020;25-4020;-1;0
11-1020;25-4030;-1;0
11-1020;25-9040;-1;0
11-1020;25-90X0;-1;0
11-1020;27-1010;-1;0
11-1020;27-1020;-1;0
11-1020;27-2010;0.9690125327089932;1
11-1020;27-2020;-1;0
11-1020;27-2030;-1;0
11-1020;27-2040;-1;0
11-1020;27-2090;-1;0
11-1020;27-3010;-1;0
11-1020;27-3020;-1;0
11-1020;27-3030;-1;0
11-1020;27-3040;-1;0
11-1020;27-3090;-1;0
11-1020;27-4010;-1;0
11-1020;27-4020;-1;0
11-1020;27-4030;-1;0
11-1020;29-1010;-1;0
11-1020;29-1030;-1;0
11-1020;29-1050;-1;0
11-1020;29-1060;-1;0
11-1020;29-1070;-1;0
11-1020;29-1120;0.8668146503884573;1
11-1020;29-1130;-1;0
11-1020;29-1140;0.6389064022468046;1
11-1020;29-1190;-1;0
11-1020;29-2010;-1;0
11-1020;29-2020;-1;0
11-1020;29-2030;-1;0
11-1020;29-2040;-1;0
11-1020;29-2050;-1;0
11-1020;29-2060;-1;0
11-1020;29-2070;-1;0
11-1020;29-2080;-1;0
11-1020;29-2090;-1;0
11-1020;29-9000;-1;0
11-1020;31-1010;0.29402181291578044;1
11-1020;31-2010;-1;0
11-1020;31-2020;-1;0
11-1020;31-9010;-1;0
11-1020;31-9090;-1;0
11-1020;33-1010;-1;0
11-1020;33-1020;-1;0
11-1020;33-1090;-1;0
11-1020;33-2010;-1;0
11-1020;33-3010;-1;0
11-1020;33-3020;-1;0
11-1020;33-3040;-1;0
11-1020;33-3050;-1;0
11-1020;33-9010;-1;0
11-1020;33-9020;-1;0
11-1020;33-9030;-1;0
11-1020;33-9090;-1;0
11-1020;35-1010;-1;0
11-1020;35-2010;-1;0
11-1020;35-2020;-1;0
11-1020;35-3010;-1;0
11-1020;35-3020;0.7583323084491451;1
11-1020;35-3030;-1;0
11-1020;35-3040;-1;0
11-1020;35-9010;-1;0
11-1020;35-9020;-1;0
11-1020;35-9030;-1;0
11-1020;37-1010;-1;0
11-1020;37-2010;-0.1486587072379194;1
11-1020;37-2020;-1;0
11-1020;37-3010;-1;0
11-1020;39-1010;-1;0
11-1020;39-1020;-1;0
11-1020;39-2020;-1;0
11-1020;39-3010;-1;0
11-1020;39-3020;-1;0
11-1020;39-3030;-1;0
11-1020;39-3090;-1;0
11-1020;39-40X0;-1;0
11-1020;39-5010;-1;0
11-1020;39-5090;-1;0
11-1020;39-6010;-1;0
11-1020;39-7010;-1;0
11-1020;39-9010;-1;0
11-1020;39-9020;-1;0
11-1020;39-9030;-1;0
11-1020;39-9040;-1;0
11-1020;39-9090;-1;0
11-1020;41-1010;0.8100905235171235;2
11-1020;41-2010;-1;0
11-1020;41-2020;-1;0
11-1020;41-2030;-1;0
11-1020;41-3010;-1;0
11-1020;41-3020;-1;0
11-1020;41-3030;-1;0
11-1020;41-3040;-1;0
11-1020;41-3090;-1;0
11-1020;41-4010;-1;0
11-1020;41-9010;-1;0
11-1020;41-9020;-1;0
11-1020;41-9030;-1;0
11-1020;41-9040;-1;0
11-1020;41-9090;-1;0
11-1020;43-1010;-1;0
11-1020;43-2010;-1;0
11-1020;43-2020;-1;0
11-1020;43-2090;-1;0
11-1020;43-3010;-1;0
11-1020;43-3020;-1;0
11-1020;43-3030;-1;0
11-1020;43-3040;-1;0
11-1020;43-3050;-1;0
11-1020;43-3060;-1;0
11-1020;43-3070;-1;0
11-1020;43-4010;-1;0
11-1020;43-4030;-1;0
11-1020;43-4040;-1;0
11-1020;43-4050;-1;0
11-1020;43-4060;-1;0
11-1020;43-4070;-1;0
11-1020;43-4080;-1;0
11-1020;43-4110;-1;0
11-1020;43-4120;-1;0
11-1020;43-4130;-1;0
11-1020;43-4140;-1;0
11-1020;43-4150;-1;0
11-1020;43-4160;-1;0
11-1020;43-4170;-1;0
11-1020;43-4180;-1;0
11-1020;43-4190;-1;0
11-1020;43-5010;-1;0
11-1020;43-5020;-1;0
11-1020;43-5030;-1;0
11-1020;43-5040;-1;0
11-1020;43-5050;-1;0
11-1020;43-5060;-1;0
11-1020;43-5070;-1;0
11-1020;43-5080;-1;0
11-1020;43-5110;-1;0
11-1020;43-6010;-1;0
11-1020;43-9010;-1;0
11-1020;43-9020;-1;0
11-1020;43-9040;-1;0
11-1020;43-9050;-1;0
11-1020;43-9060;-1;0
11-1020;43-9070;-1;0
11-1020;43-9080;-1;0
11-1020;43-9110;-1;0
11-1020;43-9190;-1;0
11-1020;45-1010;-1;0
11-1020;45-2010;-1;0
11-1020;45-2040;-1;0
11-1020;45-2090;-1;0
11-1020;45-3010;-1;0
11-1020;45-4010;-1;0
11-1020;45-4020;-1;0
11-1020;47-1010;0.861346178882958;1
11-1020;47-2010;-1;0
11-1020;47-2020;-1;0
11-1020;47-2030;-1;0
11-1020;47-2040;-1;0
11-1020;47-2050;-1;0
11-1020;47-2060;-1;0
11-1020;47-2070;-1;0
11-1020;47-2080;-1;0
11-1020;47-2110;-1;0
11-1020;47-2120;-1;0
11-1020;47-2130;-1;0
11-1020;47-2140;-1;0
11-1020;47-2150;-1;0
11-1020;47-2160;-1;0
11-1020;47-2170;-1;0
11-1020;47-2180;-1;0
11-1020;47-2210;-1;0
11-1020;47-2220;-1;0
11-1020;47-3010;-1;0
11-1020;47-4010;-1;0
11-1020;47-4020;-1;0
11-1020;47-4030;-1;0
11-1020;47-4050;-1;0
11-1020;47-4090;-1;0
11-1020;47-5010;-1;0
11-1020;47-5020;-1;0
11-1020;47-5030;-1;0
11-1020;47-5040;-1;0
11-1020;47-50X0;-1;0
11-1020;49-1010;0.9175160944206009;1
11-1020;49-2010;-1;0
11-1020;49-2020;-1;0
11-1020;49-2090;-1;0
11-1020;49-3010;-1;0
11-1020;49-3020;-1;0
11-1020;49-3030;-1;0
11-1020;49-3040;-1;0
11-1020;49-3050;-1;0
11-1020;49-3090;-1;0
11-1020;49-9010;-1;0
11-1020;49-9020;-1;0
11-1020;49-9030;-1;0
11-1020;49-9040;-1;0
11-1020;49-9050;-1;0
11-1020;49-9060;-1;0
11-1020;49-9070;-1;0
11-1020;49-9090;-1;0
11-1020;51-1010;-1;0
11-1020;51-2010;-1;0
11-1020;51-2020;-1;0
11-1020;51-2030;-1;0
11-1020;51-2040;-1;0
11-1020;51-2090;-1;0
11-1020;51-3010;-1;0
11-1020;51-3020;-1;0
11-1020;51-3090;-1;0
11-1020;51-4010;-1;0
11-1020;51-4020;-1;0
11-1020;51-4030;-1;0
11-1020;51-4040;-1;0
11-1020;51-4050;-1;0
11-1020;51-4060;-1;0
11-1020;51-4070;-1;0
11-1020;51-4110;-1;0
11-1020;51-4120;-1;0
11-1020;51-4190;-1;0
11-1020;51-5110;-1;0
11-1020;51-6010;-1;0
11-1020;51-6020;-1;0
11-1020;51-6030;-1;0
11-1020;51-6040;-1;0
11-1020;51-6050;-1;0
11-1020;51-6060;-1;0
11-1020;51-6090;-1;0
11-1020;51-7010;-1;0
11-1020;51-7020;-1;0
11-1020;51-7040;-1;0
11-1020;51-8010;-1;0
11-1020;51-8020;-1;0
11-1020;51-8030;-1;0
11-1020;51-8090;-1;0
11-1020;51-9010;-1;0
11-1020;51-9020;-1;0
11-1020;51-9030;-1;0
11-1020;51-9040;-1;0
11-1020;51-9050;-1;0
11-1020;51-9060;-1;0
11-1020;51-9070;-1;0
11-1020;51-9080;-1;0
11-1020;51-9110;-1;0
11-1020;51-9120;-1;0
11-1020;51-9150;-1;0
11-1020;51-9190;-1;0
11-1020;53-1000;-1;0
11-1020;53-2010;-1;0
11-1020;53-2020;-1;0
11-1020;53-2030;-1;0
11-1020;53-3010;-1;0
11-1020;53-3020;-1;0
11-1020;53-3030;-1;0
11-1020;53-3040;-1;0
11-1020;53-3090;-1;0
11-1020;53-4010;-1;0
11-1020;53-4020;-1;0
11-1020;53-4030;-1;0
11-1020;53-40X0;-1;0
11-1020;53-5010;-1;0
11-1020;53-5020;-1;0
11-1020;53-6020;-1;0
11-1020;53-6030;-1;0
11-1020;53-6050;-1;0
11-1020;53-60X0;-1;0
11-1020;53-7020;-1;0
11-1020;53-7030;-1;0
11-1020;53-7040;-1;0
11-1020;53-7050;-1;0
11-1020;53-7060;-1;0
11-1020;53-7070;-1;0
11-1020;53-7080;-1;0
11-1020;53-7190;-1;0
11-1020;55-1010;-1;0
11-1020;55-2010;-1;0
11-1020;55-3010;-1;0
11-2010;11-1010;-1;0
11-2010;11-1020;-1;0
11-2010;11-2010;-1;0
11-2010;11-2020;-1;0
11-2010;11-2030;-1;0
11-2010;11-3010;-1;0
11-2010;11-3020;-1;0
11-2010;11-3030;-1;0
11-2010;11-3050;-1;0
11-2010;11-3060;-1;0
11-2010;11-3070;-1;0
11-2010;11-3110;-1;0
11-2010;11-9010;-1;0
11-2010;11-9020;-1;0
11-2010;11-9030;-1;0
11-2010;11-9040;-1;0
11-2010;11-9050;-1;0
11-2010;11-9060;-1;0
11-2010;11-9070;-1;0
11-2010;11-9080;-1;0
11-2010;11-9110;-1;0
11-2010;11-9120;-1;0
11-2010;11-9140;-1;0
11-2010;11-9150;-1;0
11-2010;11-9190;-1;0
11-2010;13-1010;-1;0
11-2010;13-1020;-1;0
11-2010;13-1030;-1;0
11-2010;13-1040;-1;0
11-2010;13-1050;-1;0
11-2010;13-1070;-1;0
11-2010;13-1080;-1;0
11-2010;13-1110;-1;0
11-2010;13-1120;-1;0
11-2010;13-1160;-1;0
11-2010;13-2010;-1;0
11-2010;13-2020;-1;0
11-2010;13-2030;-1;0
11-2010;13-2040;-1;0
11-2010;13-2050;-1;0
11-2010;13-2060;-1;0
11-2010;13-2070;-1;0
11-2010;13-2080;-1;0
11-2010;13-2090;-1;0
11-2010;15-1110;-1;0
11-2010;15-1120;-1;0
11-2010;15-1130;-1;0
11-2010;15-1140;-1;0
11-2010;15-1150;-1;0
11-2010;15-2010;-1;0
11-2010;15-2030;-1;0
11-2010;15-2090;-1;0
11-2010;17-1010;-1;0
11-2010;17-1020;-1;0
11-2010;17-2010;-1;0
11-2010;17-2030;-1;0
11-2010;17-2040;-1;0
11-2010;17-2050;-1;0
11-2010;17-2060;-1;0
11-2010;17-2070;-1;0
11-2010;17-2080;-1;0
11-2010;17-2110;-1;0
11-2010;17-2130;-1;0
11-2010;17-2140;-1;0
11-2010;17-2170;-1;0
11-2010;17-2190;-1;0
11-2010;17-3010;-1;0
11-2010;17-3020;-1;0
11-2010;17-3030;-1;0
11-2010;19-1010;-1;0
11-2010;19-1020;-1;0
11-2010;19-1030;-1;0
11-2010;19-1040;-1;0
11-2010;19-2010;-1;0
11-2010;19-2020;-1;0
11-2010;19-2030;-1;0
11-2010;19-2040;-1;0
11-2010;19-2090;-1;0
11-2010;19-3010;-1;0
11-2010;19-3020;0.9931688275477485;1
11-2010;19-3030;-1;0
11-2010;19-3050;-1;0
11-2010;19-3090;-1;0
11-2010;19-4010;-1;0
11-2010;19-4020;-1;0
11-2010;19-4030;-1;0
11-2010;19-4090;-1;0
11-2010;21-1010;-1;0
11-2010;21-1020;-1;0
11-2010;21-1090;-1;0
11-2010;21-2010;-1;0
11-2010;21-2020;-1;0
11-2010;21-2090;-1;0
11-2010;23-1010;-1;0
11-2010;23-2010;-1;0
11-2010;23-2090;-1;0
11-2010;25-1000;-1;0
11-2010;25-2010;-1;0
11-2010;25-2020;0.8521829252493847;1
11-2010;25-2030;-1;0
11-2010;25-2050;-1;0
11-2010;25-3000;-1;0
11-2010;25-4010;-1;0
11-2010;25-4020;-1;0
11-2010;25-4030;-1;0
11-2010;25-9040;-1;0
11-2010;25-90X0;-1;0
11-2010;27-1010;-1;0
11-2010;27-1020;-1;0
11-2010;27-2010;-1;0
11-2010;27-2020;-1;0
11-2010;27-2030;-1;0
11-2010;27-2040;-1;0
11-2010;27-2090;-1;0
11-2010;27-3010;-1;0
11-2010;27-3020;-1;0
11-2010;27-3030;-1;0
11-2010;27-3040;-1;0
11-2010;27-3090;-1;0
11-2010;27-4010;-1;0
11-2010;27-4020;-1;0
11-2010;27-4030;-1;0
11-2010;29-1010;-1;0
11-2010;29-1030;-1;0
11-2010;29-1050;-1;0
11-2010;29-1060;-1;0
11-2010;29-1070;-1;0
11-2010;29-1120;-1;0
11-2010;29-1130;-1;0
11-2010;29-1140;-1;0
11-2010;29-1190;-1;0
11-2010;29-2010;-1;0
11-2010;29-2020;-1;0
11-2010;29-2030;-1;0
11-2010;29-2040;-1;0
11-2010;29-2050;-1;0
11-2010;29-2060;-1;0
11-2010;29-2070;-1;0
11-2010;29-2080;-1;0
11-2010;29-2090;-1;0
11-2010;29-9000;-1;0
11-2010;31-1010;-1;0
11-2010;31-2010;-1;0
11-2010;31-2020;-1;0
11-2010;31-9010;-1;0
11-2010;31-9090;-1;0
11-2010;33-1010;-1;0
11-2010;33-1020;-1;0
11-2010;33-1090;-1;0
11-2010;33-2010;-1;0
11-2010;33-3010;-1;0
